"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei","Threshold.membrane","Surface.Segmentation","Threshold.surface","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Comment.detailed","Details.phenotype","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","Phenotype","migration.perturbed","division.perturbed","orientation.perturbed"
"Foxf.image5_right.2020_07_23","2020_07_23","Yelena Bernadskaya","Foxf","image5_right","yes",21.5,13.5,"-","-","yes","39.3","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","Ambiguous phenotype between left and right, don't see all the ATM cells (image not centered)","Foxf.image5_right.2020_07_23","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.image5.2020_06_17","2020_06_17","Yelena Bernadskaya","Foxf","image5","yes",35,17.4,"-","-","yes","31.9","-","look like WT","look like WT","all look like WT","good","","Foxf.image5.2020_06_17","WT",FALSE,FALSE,FALSE
"Foxf.image6.2020_06_17","2020_06_17","Yelena Bernadskaya","Foxf","image6","yes",18,8.48,"-","-","yes","35.2","-","look like WT","look like WT","all look like WT","good","","Foxf.image6.2020_06_17","WT",FALSE,FALSE,FALSE
"Foxf.image6.2020_07_14","2020_07_14","Yelena Bernadskaya","Foxf","image6","yes",25.4,13.6,"-","-","yes","30.2","-","problem division","inhibited TVC division","one of the TVC didn't divide in the trunk","not good","-","Foxf.image6.2020_07_14","division perturbed",FALSE,TRUE,FALSE
"Foxf.image7.2020_06_17","2020_06_17","Yelena Bernadskaya","Foxf","image7","yes",30.4,30.2,"-","-","yes","22.1","-","look like WT","look like WT","all look like WT","good","","Foxf.image7.2020_06_17","WT",FALSE,FALSE,FALSE
"Foxf.image7.2020_07_14","2020_07_14","Yelena Bernadskaya","Foxf","image7","yes",21.6,15.8,"-","-","yes","50","-","look like WT","look like WT","all look like WT","good","Don't see all the ATM cells (image not centered)","Foxf.image7.2020_07_14","WT",FALSE,FALSE,FALSE
"Foxf.image7.2020_07_23","2020_07_23","Yelena Bernadskaya","Foxf","image7","yes",22.3,15.2,"-","-","yes","30.7","-","look like WT","look like WT","all look like WT","good","-","Foxf.image7.2020_07_23","WT",FALSE,FALSE,FALSE
"Foxf.image8_left.2020_07_23","2020_07_23","Yelena Bernadskaya","Foxf","image8_left","yes",22.4,12.9,"-","-","yes","21.5","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","-","Foxf.image8_left.2020_07_23","division perturbed",FALSE,TRUE,FALSE
"Foxf.image8_right.2020_07_23","2020_07_23","Yelena Bernadskaya","Foxf","image8_right","yes",22.4,12.9,"-","-","yes","18.1","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","-","Foxf.image8_right.2020_07_23","division perturbed",FALSE,TRUE,FALSE
"Foxf.image8.2020_07_14","2020_07_14","Yelena Bernadskaya","Foxf","image8","yes",35.1,17.7,"-","-","yes","36.2","-","look like WT","look like WT","all look like WT","good","-","Foxf.image8.2020_07_14","WT",FALSE,FALSE,FALSE
"Foxf.image9_left.2020_07_14","2020_07_14","Yelena Bernadskaya","Foxf","image9_left","yes",40.2,16,"-","-","yes","30.4","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","-","Foxf.image9_left.2020_07_14","division perturbed",FALSE,TRUE,FALSE
"Foxf.image9.2020_06_17","2020_06_17","Yelena Bernadskaya","Foxf","image9","yes",40.6,42.4,"-","-","yes","41.7","-","look like WT","look like WT","all look like WT","good","","Foxf.image9.2020_06_17","WT",FALSE,FALSE,FALSE
"Foxf.image9.2020_07_23","2020_07_23","Yelena Bernadskaya","Foxf","image9","yes",22.3,17.7,"-","-","yes","36.6","-","look like WT","look like WT","all look like WT","good","Don't see all the ATM cells (image not centered)","Foxf.image9.2020_07_23","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image1.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image1","yes",150,21.8,"-","-","yes","4.38","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide1_image1.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image10.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image10","yes",113,32.5,"-","-","yes","12.3","-","problem migration and orientation","enhanced ATM migration / TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned; and one ATM migrated in the trunk","good","","Foxf.slide1_image10.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Foxf.slide1_image11.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image11","yes",110,27,"-","-","yes","10.3","-","problem disposition TVC","problem disposition TVC","all look like WT but  group of TVCs is not in the good orientation (no features to see that)","not good","","Foxf.slide1_image11.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image12.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image12","yes",105,25.3,"-","-","yes","21.8","-","look like WT","look like WT","all look like WT","good","","Foxf.slide1_image12.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image14_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image14_left","yes",99.4,34.2,"-","-","yes","44.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation; the cells are aligned","good","","Foxf.slide1_image14_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image14_right.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image14_right","yes",99.4,34.2,"-","-","yes","43.7","-","problem migration and orientation","inhibited TVC migration / TVC cell alignment","one of the TVC didn't migrate and divided in the tail; the TVC that migrated in the trunk divided not in the medio-lateral orientation","good","","Foxf.slide1_image14_right.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Foxf.slide1_image15_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image15_left","yes",111,21.8,"-","-","yes","0","groups connected","problem migration","enhanced ATM migration","one of the ATM migrated but not completely so it is attached to the TVCs but also the other ATM in the tail ","good","","Foxf.slide1_image15_left.2020_02_06","migration perturbed",TRUE,FALSE,FALSE
"Foxf.slide1_image15_right.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image15_right","yes",111,24.9,"-","-","yes","0","groups connected","problem migration and orientation","inhibited TVC migration / TVC cell alignment","The migration was not done completely, one of the TVC is still connected to the ATM and this TVC divide but not in the medio-lateral orientation","good","","Foxf.slide1_image15_right.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Foxf.slide1_image16.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image16","yes",115,35.3,"-","-","yes","10.8","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","good","","Foxf.slide1_image16.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image17.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image17","yes",65.7,25,"-","-","yes","64.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","","Foxf.slide1_image17.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image18.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image18","yes",103,31.2,"-","-","yes","26.8","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide1_image18.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image19.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image19","yes",115,35.8,"-","-","yes","15.3","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide1_image19.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image2.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image2","yes",133,36.8,"-","-","yes","1.18","-","look like WT","look like WT","all look like WT","good","","Foxf.slide1_image2.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image20.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image20","yes",105,37.8,"-","-","yes","26.3","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","not good","","Foxf.slide1_image20.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image21.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image21","yes",98.3,38.5,"-","-","yes","22.2","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide1_image21.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image22_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image22_left","yes",116,25.9,"-","-","yes","0","groups connected","problem migration and orientation","inhibited TVC migration / TVC cell alignment","The migration was not done completely, one of the TVC is still connected to the ATM and this TVC divide but not in the medio-lateral orientation","good","","Foxf.slide1_image22_left.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Foxf.slide1_image22_right.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image22_right","yes",83.2,25.9,"-","-","yes","16.4","-","look like WT","look like WT","all look like WT","good","","Foxf.slide1_image22_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image3.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image3","yes",94.9,28.8,"-","-","yes","42","-","look like WT","look like WT","all look like WT","good","","Foxf.slide1_image3.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image4.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image4","yes",105,32,"-","-","yes","0","groups connected","problem division and migration","inhibited TVC migration / inhibited TVC division","the TVCs didn't migrate completely, one is still connected to the ATM and this TVC didn't divide","good","","Foxf.slide1_image4.2020_02_06","migration/division perturbed",TRUE,TRUE,FALSE
"Foxf.slide1_image5.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image5","yes",115,25.3,"-","-","yes","19.2","-","look like WT","look like WT","all look like WT","good","","Foxf.slide1_image5.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image6.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image6","yes",112,29.1,"-","-","yes","27.6","-","look like WT","look like WT","all look like WT","not good","","Foxf.slide1_image6.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image7.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image7","yes",100,17.8,"-","-","yes","18.4","-","look like WT","look like WT","all look like WT","good","","Foxf.slide1_image7.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image8.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image8","yes",85,14.5,"-","-","yes","40.7","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide1_image8.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide1_image9.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide1_image9","yes",100,22.2,"-","-","yes","10.2","-","look like WT","look like WT","all look like WT","not good","","Foxf.slide1_image9.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image1.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image1","yes",115,31,"-","-","yes","14.1","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide2_image1.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image10.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image10","yes",103,28,"-","-","yes","30.9","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","not good","","Foxf.slide2_image10.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image11.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image11","yes",120,26.2,"-","-","yes","43.4","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image11.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image12_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image12_left","yes",120,29.7,"-","-","yes","20.4","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide2_image12_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image12_right.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image12_right","yes",115,29.7,"-","-","yes","27.4","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide2_image12_right.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image13.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image13","yes",120,24.1,"-","-","yes","20.7","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","good","","Foxf.slide2_image13.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image14_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image14_left","yes",89.7,16.2,"-","-","yes","28","-","look like WT","look like WT","all look like WT","correct","","Foxf.slide2_image14_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image14_right.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image14_right","yes",109,21.6,"-","-","yes","24.3","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image14_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image15.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image15","yes",120,22.9,"-","-","yes","29.4","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide2_image15.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image16.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image16","yes",113,14.9,"-","-","yes","0","groups connected","problem migration and orientation","inhibited TVC migration / TVC cell alignment","the migration was not done completely, one of the TVC is still connected to the ATM and this TVC divide but not in the medio-lateral orientation, so cells are aligned","not good","","Foxf.slide2_image16.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Foxf.slide2_image18.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image18","yes",108,35.6,"-","-","yes","10.6","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image18.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image19.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image19","yes",120,21.2,"-","-","yes","20.9","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image19.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image2.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image2","yes",94,17.4,"-","-","yes","3.55","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image2.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image20.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image20","yes",125,19.5,"-","-","yes","5.59","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image20.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image21.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image21","yes",102,29.7,"-","-","yes","12.5","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","","Foxf.slide2_image21.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image22.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image22","yes",95.1,24.2,"-","-","yes","13.3","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide2_image22.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image24.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image24","yes",107,33.5,"-","-","yes","20.2","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image24.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image25_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image25_left","yes",120,37.8,"-","-","yes","9.27","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","correct","","Foxf.slide2_image25_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image26.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image26","yes",84.3,36.6,"-","-","yes","42.7","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","","Foxf.slide2_image26.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image27_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image27_left","yes",105,29.1,"-","-","yes","14.5","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","not good","","Foxf.slide2_image27_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image28.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image28","yes",115,20.6,"-","-","yes","15.2","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","not good","","Foxf.slide2_image28.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image29.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image29","yes",115,31.3,"-","-","yes","18.3","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image29.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image3_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image3_left","yes",140,27.5,"-","-","yes","14.2","-","look like WT","look like WT","all look like WT","correct","","Foxf.slide2_image3_left.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image30_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image30_left","yes",90.3,26.4,"-","-","yes","27","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide2_image30_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image30_right.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image30_right","yes",90.3,26.4,"-","-","yes","25.1","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","","Foxf.slide2_image30_right.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image31_left.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image31_left","yes",80,25.9,"-","-","yes","22.7","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","not good","","Foxf.slide2_image31_left.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image31_right.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image31_right","yes",88.6,25.9,"-","-","yes","15.5","-","look like WT","look like WT","all look like WT","correct","","Foxf.slide2_image31_right.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image32.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image32","yes",93.5,32.4,"-","-","yes","0","groups connected","problem migration and orientation","inhibited TVC migration / TVC cell alignment","the migration was not done completely, one of the TVC is still connected to the ATM and this TVC divided but not in the medio-lateral orientation, so cells are aligned","not good","","Foxf.slide2_image32.2020_02_06","migration/orientation perturbed",TRUE,FALSE,TRUE
"Foxf.slide2_image4.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image4","yes",102,22.3,"-","-","yes","9.98","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","","Foxf.slide2_image4.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image5.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image5","yes",94.3,17.3,"-","-","yes","24.3","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","good","","Foxf.slide2_image5.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image6.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image6","yes",80.8,22.6,"-","-","yes","21.1","-","problem orientation","TVC cell alignment","the 2 TVCs divided not in the medio-lateral orientation, all cells are aligned","good","","Foxf.slide2_image6.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image7.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image7","yes",120,35.5,"-","-","yes","30.5","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","good","","Foxf.slide2_image7.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"Foxf.slide2_image8.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image8","yes",125,25.3,"-","-","yes","22.2","-","look like WT","look like WT","all look like WT","good","","Foxf.slide2_image8.2020_02_06","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image9.2020_02_06","2020_02_06","Margaux Failla","Foxf","slide2_image9","yes",86.4,36.8,"-","-","yes","27.3","-","problem orientation","TVC cell alignment","one of the TVC divided not in the medio-lateral orientation, so cells are aligned","correct","","Foxf.slide2_image9.2020_02_06","orientation perturbed",FALSE,FALSE,TRUE
"FZD.slide1_image1_right.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image1_right","yes",66.2,45.4,"-","-","yes","20.3","-","problem division","enhanced ATM division","one of the ATM divided in the tail","correct","-","FZD.slide1_image1_right.2020_11_04","division perturbed",FALSE,TRUE,FALSE
"FZD.slide1_image1.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image1","yes",89,32.9,"-","-","yes","0","groups connected","problem migration","enhanced ATM migration","the 2 ATMs migrated with the TVCs in the trunk but one is still a bit in the tail","good","-","FZD.slide1_image1.2020_11_05","migration perturbed",TRUE,FALSE,FALSE
"FZD.slide1_image10_left.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image10_left","yes",82.5,25.2,"-","-","yes","36","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVCs didin't migrate and didn't divide, it stayed in the tail with the ATMs","good","-","FZD.slide1_image10_left.2020_11_04","migration/division perturbed",TRUE,TRUE,FALSE
"FZD.slide1_image10_right.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image10_right","yes",77.3,25.2,"-","-","yes","40.4","-","look like WT","look like WT","all look like WT","good","-","FZD.slide1_image10_right.2020_11_04","WT",FALSE,FALSE,FALSE
"FZD.slide1_image10.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image10","yes",86.3,42.2,"-","-","yes","9.87","-","problem migration","enhanced ATM migration","one of the ATM migrated with the TVCs in the trunk","good","-","FZD.slide1_image10.2020_11_05","migration perturbed",TRUE,FALSE,FALSE
"FZD.slide1_image12.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image12","yes",88.3,32.4,"-","-","yes","11.7","-","problem migration and division","enhanced ATM migration / inhibited TVC division","the ATMs migrated a bit in the trunk; one of the TVCs didn't divide in the trunk (and a bit separated from the other TVCs)","correct","-","FZD.slide1_image12.2020_11_04","migration/division perturbed",TRUE,TRUE,FALSE
"FZD.slide1_image14.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image14","yes",78.5,60,"-","-","yes","23.4","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","correct","-","FZD.slide1_image14.2020_11_05","migration/division perturbed",TRUE,TRUE,FALSE
"FZD.slide1_image15_left.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image15_left","yes",80.2,30.2,"-","-","yes","0","groups connected","problem migration","enhanced ATM migration","one of the ATM migrated with the TVCs in the trunk, but still attached to the other ATM in the tail","correct","the segmentation doesn't follow correctly the signal of the membrane","FZD.slide1_image15_left.2020_11_04","migration perturbed",TRUE,FALSE,FALSE
"FZD.slide1_image15_right.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image15_right","yes",86.5,30.2,"-","-","yes","38.7","-","look like WT","look like WT","all look like WT","good","-","FZD.slide1_image15_right.2020_11_04","WT",FALSE,FALSE,FALSE
"FZD.slide1_image16.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image16","yes",93.5,47.2,"-","-","yes","35.5","-","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated and divided with the TVCs in the trunk","correct","-","FZD.slide1_image16.2020_11_05","migration/division perturbed",TRUE,TRUE,FALSE
"FZD.slide1_image18.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image18","yes",84.8,32.3,"-","-","yes","55","-","look like WT","look like WT","all look like WT","good","-","FZD.slide1_image18.2020_11_04","WT",FALSE,FALSE,FALSE
"FZD.slide1_image19_right.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image19_right","yes",80.3,52.6,"-","-","yes","-","only one group in the trunk - no distance","problem migration and division","enhanced ATM migration / inhibited TVC division","the 2 ATMs migrated with the TVCs in the trunk; the 2 TVCs didn't divide in the trunk","good","-","FZD.slide1_image19_right.2020_11_05","migration/division perturbed",TRUE,TRUE,FALSE
"FZD.slide1_image21_right.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image21_right","yes",79.8,45.2,"-","-","yes","41.8","-","problem migration","enhanced ATM migration","one of the ATM migrated with the TVCs in the trunk","not good","-","FZD.slide1_image21_right.2020_11_05","migration perturbed",TRUE,FALSE,FALSE
"FZD.slide1_image22.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image22","yes",89.5,29.9,"-","-","yes","57.1","-","look like WT","look like WT","all look like WT","good","-","FZD.slide1_image22.2020_11_04","WT",FALSE,FALSE,FALSE
"FZD.slide1_image22.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image22","yes",74.9,42.3,"-","-","yes","-","only one group in the trunk - no distance","problem migration and division","enhanced ATM migration / enhanced ATM division","the 2 ATMs migrated and one of them divided with the TVCs in the trunk","good","-","FZD.slide1_image22.2020_11_05","migration/division perturbed",TRUE,TRUE,FALSE
"FZD.slide1_image23_right.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image23_right","yes",NA,NA,"-","-","yes","","-","look like WT","look like WT","all look like WT","not good","-","FZD.slide1_image23_right.2020_11_04","WT",FALSE,FALSE,FALSE
"FZD.slide1_image23.2020_11_05","2020_11_05","Margaux Failla","FZD","slide1_image23","yes",85.8,55.3,"-","-","yes","51.9","-","look like WT","look like WT","all look like WT","good","-","FZD.slide1_image23.2020_11_05","WT",FALSE,FALSE,FALSE
"FZD.slide1_image29_left.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image29_left","yes",80.8,51.9,"-","-","yes","37.3","-","look like WT","look like WT","all look like WT","good","-","FZD.slide1_image29_left.2020_11_04","WT",FALSE,FALSE,FALSE
"FZD.slide1_image30_left.2020_11_04","2020_11_04","Margaux Failla","FZD","slide1_image30_left","yes",76.8,35.3,"-","-","yes","48.8","-","problem division","enhanced ATM division","one of the ATM divided in the tail","good","-","FZD.slide1_image30_left.2020_11_04","division perturbed",FALSE,TRUE,FALSE
